Unique ID,Category,Start Location,End Location,Reporting Location,Train Operating Company
126452,Station,Acton Town,Acton Town,Acton Town,Piccadilly
126453,Station,Acton Town,Acton Town,Acton Town,Piccadilly
137061,On Train ,Alperton,Acton Town,Acton Town,Piccadilly
99258,On Train ,Barons Court,Acton Town,Acton Town,Piccadilly
114712,On Train ,Barons Court,Acton Town,Acton Town,Piccadilly
151400,On Train ,Boston Manor,Acton Town,Acton Town,Piccadilly
151401,On Train ,Boston Manor,Acton Town,Acton Town,Piccadilly
176401,On Train ,Caledonian Road,Acton Town,Acton Town,Piccadilly
19651,On Train ,Eastcote,Acton Town,Acton Town,Piccadilly
104461,On Train ,Green Park,Acton Town,Acton Town,Piccadilly
150357,On Train ,Green Park,Acton Town,Acton Town,Piccadilly
16141,On Train ,Hammersmith (Dist&Picc Line),Acton Town,Acton Town,Piccadilly
157523,On Train ,Hammersmith (Dist&Picc Line),Acton Town,Acton Town,Piccadilly
88062,On Train ,Hammersmith (H&C Line),Acton Town,Acton Town,Piccadilly
109436,On Train ,Hammersmith (H&C Line),Acton Town,Acton Town,Piccadilly
131475,On Train ,Hatton Cross,Acton Town,Acton Town,Piccadilly
71706,On Train ,Heathrow Terminal 5,Acton Town,Acton Town,Piccadilly
4723,On Train ,Hounslow East,Acton Town,Acton Town,Piccadilly
88063,On Train ,Knightsbridge,Acton Town,Acton Town,Piccadilly
119437,On Train ,Leicester Square,Acton Town,Acton Town,Piccadilly
131474,On Train ,Leicester Square,Acton Town,Acton Town,Piccadilly
103494,On Train ,Mile End,Acton Town,Acton Town,District
66433,On Train ,Piccadilly Circus,Acton Town,Acton Town,Piccadilly
182868,On Train ,Piccadilly Circus,Acton Town,Acton Town,Piccadilly
48210,On Train ,Rayners Lane,Acton Town,Acton Town,Piccadilly
151399,On Train ,South Ealing,Acton Town,Acton Town,Piccadilly
72441,On Train ,South Kensington,Acton Town,Acton Town,Piccadilly
40646,On Train ,Sudbury Town,Acton Town,Acton Town,Piccadilly
156574,On Train ,Victoria,Acton Town,Acton Town,District
137513,On Train ,,Acton Town,Acton Town,Piccadilly
87375,On Train ,,Acton Town,Acton Town,Piccadilly
132693,On Train ,,Acton Town,Acton Town,Piccadilly
150358,On Train ,,Acton Town,Acton Town,District
176402,On Train ,Liverpool Street,,Acton Town,Central
